Unnamed: 0,Date,Source,Destination,Departure_time,Arrival_time,Duration,Stops,CAD,Airports,Airlines
0.0,01-05-22,BOM,YYC,4:25 a.m.,12:02 a.m.,31h 07m ,2,1260.0,"Qatar Airways, Alaska Airlines",
1.0,01-05-22,BOM,YYC,6:25 a.m.,12:58 p.m.,42h 03m ,2,1305.0,"Turkish Airlines, Air Canada",
2.0,01-05-22,BOM,YYC,4:25 a.m.,2:03 p.m.,45h 08m ,2,1306.0,"Qatar Airways, Alaska Airlines",
3.0,01-05-22,BOM,YYC,6:25 a.m.,12:58 p.m.,42h 03m ,2,1820.0,"Turkish Airlines, Air Canada",
4.0,01-05-22,BOM,YYC,5:10 a.m.,12:02 a.m.,30h 22m ,2,1899.0,"Emirates, Alaska Airlines",
5.0,01-05-22,BOM,YYC,4:25 a.m.,9:53 p.m.,28h 58m ,2,2158.0,"Qatar Airways, American Airlines",
6.0,01-05-22,BOM,YYC,4:25 a.m.,9:30 p.m.,28h 35m ,2,2253.0,"Qatar Airways, Air Canada",
7.0,01-05-22,BOM,YYC,5:15 a.m.,9:30 p.m.,27h 45m ,2,2609.0,SWISS,
8.0,01-05-22,BOM,YYC,2:50 a.m.,2:55 p.m.,23h 35m ,1,2763.0,Air Canada,
9.0,01-05-22,BOM,YYC,2:50 a.m.,4:42 p.m.,25h 22m ,2,2763.0,Air Canada,
10.0,01-05-22,BOM,YYC,4:30 a.m.,8:55 p.m.,27h 55m ,2,2800.0,Emirates,
11.0,01-05-22,BOM,YYC,2:10 a.m.,3:22 p.m.,24h 42m ,2,2905.0,Air France,
12.0,01-05-22,BOM,YYC,2:10 a.m.,7:20 p.m.,28h 40m ,2,2905.0,Air France,
13.0,01-05-22,BOM,YYC,2:20 a.m.,8:20 p.m.,29h 30m ,2,2907.0,KLM,
14.0,01-05-22,BOM,YYC,2:20 a.m.,4:25 p.m.,25h 35m ,2,2914.0,KLM,
15.0,01-05-22,BOM,YYC,2:10 a.m.,1:25 p.m.,22h 45m ,2,2930.0,KLM,
16.0,01-05-22,DEL,YYZ,7:30 p.m.,6:34 p.m.,32h 34m ,2,1069.0,"Japan Airlines, American Airlines",
17.0,01-05-22,DEL,YYZ,4:35 p.m.,6:55 p.m.,35h 50m ,3,1189.0,"IndiGo, Lufthansa",
18.0,01-05-22,DEL,YYZ,2:30 p.m.,1:55 p.m.,32h 55m ,2,1243.0,"Vistara, TAP AIR PORTUGAL",
19.0,01-05-22,DEL,YYZ,5:35 p.m.,4:30 p.m.,32h 25m ,3,1248.0,"IndiGo, Air Canada",
20.0,01-05-22,DEL,YYZ,3:20 p.m.,4:30 p.m.,34h 40m ,3,1248.0,"IndiGo, Air Canada",
21.0,01-05-22,DEL,YYZ,4:35 p.m.,4:20 p.m.,33h 15m ,2,1318.0,"IndiGo, Lufthansa",
22.0,01-05-22,DEL,YYC,10:20 a.m.,12:02 a.m.,49h 12m ,2,1404.0,Qatar Airways,
23.0,01-05-22,DEL,YYZ,9:50 p.m.,3:40 p.m.,27h 20m ,2,1548.0,"Emirates, Air Transat",
24.0,01-05-22,DEL,YYC,3:25 a.m.,12:02 a.m.,32h 07m ,2,1838.0,"Qatar Airways, Alaska Airlines",
25.0,01-05-22,DEL,YYZ,4:15 p.m.,5:12 p.m.,34h 27m ,2,2135.0,Emirates,
26.0,01-05-22,DEL,YYZ,9:50 p.m.,5:12 p.m.,28h 52m ,2,2301.0,Emirates,
27.0,01-05-22,DEL,YYZ,4:15 p.m.,5:12 p.m.,34h 27m ,2,2301.0,Emirates,
28.0,01-05-22,DEL,YYZ,11:00 a.m.,5:12 p.m.,39h 42m ,2,2301.0,Emirates,
29.0,01-05-22,DEL,YYC,4:15 a.m.,12:02 a.m.,31h 17m ,2,2327.0,"Emirates, Alaska Airlines",
30.0,01-05-22,DEL,YYC,6:20 a.m.,12:58 p.m.,42h 08m ,2,2363.0,"Turkish Airlines, Air Canada",
31.0,01-05-22,DEL,YYZ,9:50 p.m.,5:12 p.m.,28h 52m ,2,2481.0,Emirates,
32.0,01-05-22,DEL,YYZ,8:40 p.m.,7:55 p.m.,32h 45m ,2,2553.0,"Vistara, British Airways",
33.0,01-05-22,DEL,YYZ,3:25 a.m.,10:30 p.m.,28h 35m ,2,2669.0,Qatar Airways,
34.0,01-05-22,DEL,YYC,12:55 a.m.,10:23 p.m.,32h 58m ,2,2722.0,Air Canada,
35.0,01-05-22,DEL,YYC,12:55 a.m.,11:38 p.m.,34h 13m ,2,2722.0,Air Canada,
36.0,01-05-22,DEL,YYC,12:55 a.m.,8:14 p.m.,30h 49m ,2,2729.0,Air Canada,
37.0,01-05-22,DEL,YYZ,12:35 a.m.,9:24 p.m.,30h 19m ,2,2738.0,Air France,
38.0,01-05-22,DEL,YYZ,3:25 a.m.,5:00 p.m.,23h 05m ,2,2848.0,"Qatar Airways, Air Canada",
39.0,01-05-22,DEL,YYZ,12:55 a.m.,2:35 p.m.,23h 10m ,1,2868.0,Air Canada,
40.0,01-05-22,DEL,YYZ,12:55 a.m.,6:30 p.m.,27h 05m ,1,2868.0,Air Canada,
41.0,01-05-22,DEL,YYZ,12:55 a.m.,11:45 a.m.,20h 20m ,2,2880.0,Air Canada,
42.0,01-05-22,DEL,YYZ,12:55 a.m.,4:20 p.m.,24h 55m ,2,2880.0,Air Canada,
43.0,01-05-22,DEL,YYC,12:35 a.m.,1:25 p.m.,24h 20m ,2,2916.0,KLM,
44.0,01-05-22,DEL,YYC,12:35 a.m.,1:25 p.m.,24h 20m ,2,2916.0,Air France,
45.0,01-05-22,DEL,YYZ,8:40 p.m.,4:20 p.m.,29h 10m ,2,2939.0,"Vistara, Lufthansa",
46.0,01-05-22,DEL,YYZ,7:50 p.m.,4:20 p.m.,30h 00m ,2,2939.0,"Vistara, Lufthansa",
47.0,01-05-22,DEL,YYZ,5:35 p.m.,4:20 p.m.,32h 15m ,2,2939.0,"Vistara, Lufthansa",
48.0,01-05-22,DEL,YYZ,4:05 p.m.,4:20 p.m.,33h 45m ,2,2939.0,"Vistara, Lufthansa",
